Time Created,Event ID,Provider,Log Name,Level,Message
08/22/2024 21:47:51,16384,Microsoft-Windows-Security-SPP,Application,Information,Successfully scheduled Software Protection service for re-start at 2024-08-23T11:44:51Z. Reason: RulesEngine.
08/22/2024 21:47:22,15,SecurityCenter,Application,Information,Updated Windows Defender status successfully to SECURITY_PRODUCT_STATE_ON.
08/22/2024 21:47:20,1,SecurityCenter,Application,Information,The Windows Security Center Service has started.
08/22/2024 21:47:19,16394,Microsoft-Windows-Security-SPP,Application,Information,Offline downlevel migration succeeded.
08/22/2024 21:47:19,900,Microsoft-Windows-Security-SPP,Application,Information,The Software Protection service is starting.  Parameters:<explicit>
08/22/2024 21:47:19,0,edgeupdate,Application,Information,Service stopped.
08/22/2024 21:46:06,903,Microsoft-Windows-Security-SPP,Application,Information,The Software Protection service has stopped.  
08/22/2024 21:46:06,16384,Microsoft-Windows-Security-SPP,Application,Information,Successfully scheduled Software Protection service for re-start at 2024-08-23T11:45:06Z. Reason: RulesEngine.
08/22/2024 21:45:40,86,Microsoft-Windows-CertificateServicesClient-CertEnroll,Application,Error,SCEP Certificate enrollment initialization for WORKGROUP\DESKTOP-8CIK9L4$ via https://VMW-KeyId-1c2492513d5ddafd85ddcca2e165abd218a9d7ac.microsoftaik.azure.net/templates/Aik/scep failed:    GetCACaps GetCACaps: Not Found {"Message":"The authority \"vmw-keyid-1c2492513d5ddafd85ddcca2e165abd218a9d7ac.microsoftaik.azure.net\" does not exist."} HTTP/1.1 404 Not Found Date: Thu  22 Aug 2024 11:45:39 GMT Content-Length: 121 Content-Type: application/json; charset=utf-8 X-Content-Type-Options: nosniff Strict-Transport-Security: max-age=31536000;includeSubDomains x-ms-request-id: cbd4e8e3-c56f-483b-8538-cc60db8956ad   Method: GET(313ms)  Stage: GetCACaps  Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND)
08/22/2024 21:45:39,86,Microsoft-Windows-CertificateServicesClient-CertEnroll,Application,Error,SCEP Certificate enrollment initialization for Local system via https://VMW-KeyId-1c2492513d5ddafd85ddcca2e165abd218a9d7ac.microsoftaik.azure.net/templates/Aik/scep failed:    GetCACaps GetCACaps: Not Found {"Message":"The authority \"vmw-keyid-1c2492513d5ddafd85ddcca2e165abd218a9d7ac.microsoftaik.azure.net\" does not exist."} HTTP/1.1 404 Not Found Date: Thu  22 Aug 2024 11:45:39 GMT Content-Length: 121 Content-Type: application/json; charset=utf-8 X-Content-Type-Options: nosniff Strict-Transport-Security: max-age=31536000;includeSubDomains x-ms-request-id: 411283aa-7f0b-409b-a3c9-aec99c5213d3   Method: GET(562ms)  Stage: GetCACaps  Not found (404). 0x80190194 (-2145844844 HTTP_E_STATUS_NOT_FOUND)
08/22/2024 21:45:36,8198,Microsoft-Windows-Security-SPP,Application,Error,License Activation (slui.exe) failed with the following error code:  hr=0x80004005  Command-line arguments:  RuleId=31e71c49-8da7-4a2f-ad92-45d98a1c79ba;Action=AutoActivate;AppId=55c92734-d682-4d71-983e-d6ec3f16059f;SkuId=e558417a-5123-4f6f-91e7-385c1c7ca9d4;NotificationInterval=1440;Trigger=NetworkAvailable
